experiment_id,date,trial_type,hypothesis,signal_definition,universe,holding_period,features,model,parameters,train_period,validation_period,expected_result,falsification_condition,actual_result,decision
H1,2026-09-05,diagnostic,"Trailing 1-5 day residual returns (vs market + sector factors estimated on trailing data only) negatively predict next 1-5 day residual returns in liquid US large/mid caps, for moves not accompanied by material company news",z = -(sum of residual returns over last k_s days) / rolling residual vol; residual from rolling 120-day OLS on SPY + sector ETF (PCA-3 as second implementation); decision time 15:40 ET using 5-min bars through 15:40 plus daily data through t-1,"point-in-time S&P 500 members passing t-1 liquidity filter, no-news subsample","1-5 days (set from decay curve, H6)","residual return, residual vol, abnormal turnover, news flags",Fama-MacBeth cross-sectional regression with Newey-West; decile long-short portfolio,"k_s in {1,3,5}; OLS window 120; z-score window 60",DEV (intraday start ~2013 to 2018-12-14),none (DEV-only diagnostic),negative FM slope with |t|>=2; decile long-short gross return > 0,FM slope not significantly negative (NW t < 2) OR decile long-short gross return <= 0 on the no-news subsample,"DEV 2005-01..2018-12 (daily, close-to-close forward returns, eligible PIT members): Fama-MacBeth slope of next-1d return on residual reversal score = +2.1e-4/unit z (NW t=5.54, 3,434 dates); k3/h3 t=3.99; k5/h5 t=3.04; top-minus-bottom decile spread 5.4 bp (h=1), 9.6 bp (h=3), 12.6 bp (h=10) per period. Sign convention: score = -residual, so a positive slope = reversal.",NOT FALSIFIED (reversal present; news split pending Tier-1/2 flags)
H2,2026-09-05,diagnostic,Reversal is concentrated in low-abnormal-turnover movers; high-abnormal-turnover movers show continuation (Medhat & Schmeling 2022),interaction of residual-return z-score with abnormal turnover tercile (turnover_t / trailing 60-day mean),as H1,1-5 days,abnormal turnover,FM regression with interaction term; double sort,turnover window 60,DEV,none,negative coefficient in low-turnover tercile; non-negative/positive in high-turnover tercile,interaction t < 2,"DEV: FM slope by abnormal-turnover tercile: low 3.4e-4 (t=5.52), mid 2.6e-4 (t=5.29), high 1.6e-4 (t=3.68). Reversal strongest in low turnover but still positive in high turnover at the 1-day horizon; no continuation.",PARTIALLY SUPPORTED (monotone in turnover; no reversal-to-momentum flip at daily horizon)
H3,2026-09-05,diagnostic,Expected reversal return rises with lagged market volatility (Nagel 2012),strategy return regressed on lagged VIX (or realized SPY vol) terciles,as H1,1-5 days,"lagged VIX, realized vol",time-series regression; tercile comparison,VIX lag 1 day,DEV,none,positive slope; highest tercile earns most,slope <= 0 or insignificant,"DEV no-news decile spread (h=1) by ex-ante lagged-VIX tercile (trailing 252-day rank): low 3.6 bp/day (t=2.62), mid 9.5 (t=3.63), high 9.1 (t=3.23); HAC regression on log VIX(t-1): +18.7 bp per log-unit, t=3.61.",SUPPORTED: reversal premium rises with lagged volatility; VIX gating is a legitimate sizing candidate
H4,2026-09-05,diagnostic,Residual (factor-cleaned) reversal beats raw reversal risk-adjusted (Blitz et al. 2013; Da et al. 2014),raw k-day return z-score vs residual k-day return z-score,as H1,1-5 days,"raw return, residual return",decile portfolios; Sharpe comparison with bootstrap CI,same k,DEV,none,residual Sharpe > raw Sharpe,raw >= residual,DEV FM t-stats: residual score 5.54 vs raw 1-day return score 3.97 (h=1); k3: 3.99 vs 3.81; k5: 3.04 vs 3.53. Decile-spread comparison pending (same-scale test).,PROVISIONAL: residual >= raw at 1-3 day horizons; final call after decile comparison
H5,2026-09-05,diagnostic,Net-of-cost profitability survives in the most liquid tercile with turnover-aware construction (De Groot et al. 2012),frozen DEV-selected construction applied to VAL,most liquid tercile of PIT universe,from H6,all frozen features,frozen DEV choice,frozen,DEV (selection),VAL 2019-01-02 to 2022-12-15 (one-shot confirmation),net Sharpe > 0 under base costs,net Sharpe <= 0 under base costs on untouched VAL,PENDING,PENDING
H6,2026-09-05,diagnostic,Decay curve implies optimal holding <= 5 days; gross alpha per unit turnover falls monotonically beyond,IC and long-short return by forward horizon 1..20 days,as H1,1-20 days,residual return,IC decay curve; alpha-per-turnover curve,horizons 1..20,DEV,none,peak alpha per turnover at k <= 5,flat or non-monotone decay,"DEV IC decay (k=1): 1.61% at h=1, 1.00% at h=5, 0.83% at h=10, 0.74% at h=15; decile spread 5.4/7.1/9.6/9.1/12.6 bp at h=1/2/3/5/10. Spread net of a ~4 bp round trip per day of holding peaks at h=3 (1.9 bp/day) vs h=1 (1.4), h=5 (1.0), h=10 (0.9).",NOT FALSIFIED; holding horizon = 3 days selected from the decay curve (before any net-Sharpe search)
H7,2026-09-05,diagnostic,Residual reversal is materially stronger for no-news moves than for moves accompanied by material company news (8-K and/or article flag known by the decision time),news flag = 8-K accepted since previous decision time OR FMP article/keyword hit before decision time; interaction with reversal signal,"as H1 (full universe, split by news flag)",1-5 days,news flags (Tier 1 8-K items; Tier 2 article counts 2012+),FM regression with news interaction; filter ablation ladder,tiers a-e,DEV,none,reversal concentrated in no-news movers,no significant difference (interaction t < 2),"DEV (daily model, Tier-1 8-K flags at the 16:00 decision time, avg 16.6 flagged eligible names/day): no-news FM slope +2.56e-4 (t=6.43, 3,434 dates), decile spread +6.8 bp/day; news-day FM slope -6.58e-4 (t=-2.17, 166 dates with >=30 flagged names), decile spread -15.4 bp/day. Tier-2 article flags pending (news pull in progress).",SUPPORTED on Tier 1: reversal is a no-news phenomenon; news movers continue
H8,2026-09-05,diagnostic,Residual moves accompanied by material news show post-news drift (continuation) over 1-10 days (Chan 2003; Tetlock 2011),news-mover subsample; forward residual return by horizon,news movers only,1-10 days,"news flags, cause labels",event-time regression,horizons 1..10,DEV,none,positive continuation,no significant positive drift on DEV,"DEV: earnings-8-K movers continue (FM slope -6.45e-4, t=-2.32, 243 dates); non-earnings 8-K movers show no drift (t=-0.22, 1,154 dates). Continuation sleeve candidate = post-earnings drift only.",SUPPORTED for earnings news; NOT for other 8-K news
B1,2026-09-05,diagnostic,FALLBACK FAMILY (only if H1 is falsified): sector/industry-ETF residual returns vs SPY mean-revert at 1-5 days,ETF residual return z-score vs SPY,liquid US sector/industry ETFs fixed by inception date and t-1 liquidity before download,1-5 days,ETF residual return,pooled panel regression with Driscoll-Kraay SEs; top-3/bottom-3 rank long-short,"k in {1,3,5}",DEV,none,negative slope,slope not significantly negative,NOT RUN,NOT RUN
COST-1,2026-09-05,diagnostic,Cost-model correction (not a strategy trial): market-impact term,impact = k * sigma_daily * participation**beta,,,,,"pre-registered sqrt k=1 -> Almgren et al. (2005) k=0.142, beta=0.6; sqrt k=1 retained as stress variant",DEV,none,n/a,n/a,"At $1M capital and ~0.1% participation the sqrt/k=1 form charged ~6 bp per trade (1.5-2.2 bp/day), ~14x the Almgren et al. estimate (~0.45 bp). Corrected before any VAL/holdout run; observed DEV proxy results before correction: net SR -0.65 to -1.93.",CORRECTED (documented; stress variant kept)
